url_path,views_total,views_unique
/grp-bork/spire/blob/main/nextflow.config,12,3
/grp-bork/spire,11,7
/grp-bork/spire/tree/main,11,2
/grp-bork/spire/blob/main/main.nf,10,3
/grp-bork/spire/blob/main/bin/create_ngless_template_files.py,7,2
/grp-bork/spire/tree/main/bin,5,2
/grp-bork/spire/blob/main/nextflow_schema.json,3,1
/grp-bork/spire/blob/01d88bdd38c9e4b0960a0f7fc1a8f1b536dace39/nextflow.config,2,1
/grp-bork/spire/tree/01d88bdd38c9e4b0960a0f7fc1a8f1b536dace39,2,1
/grp-bork/spire/blob/f33de7cb0203ed13415894140fe3f2e61c12797b/nextflow.config,1,1
