time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,19,10,2,1
2026-04-20 00:00:00+00:00,39,16,0,0
2026-04-21 00:00:00+00:00,48,22,0,0
2026-04-22 00:00:00+00:00,61,24,0,0
2026-04-23 00:00:00+00:00,83,25,1,1
2026-04-24 00:00:00+00:00,52,21,0,0
2026-04-25 00:00:00+00:00,82,30,2,1
2026-04-26 00:00:00+00:00,15,7,1,1
2026-04-27 00:00:00+00:00,25,10,0,0
2026-04-28 00:00:00+00:00,33,11,0,0
2026-04-29 00:00:00+00:00,37,10,0,0
2026-04-30 00:00:00+00:00,26,6,0,0
2026-05-01 00:00:00+00:00,17,6,0,0
2026-05-02 00:00:00+00:00,16,5,0,0
