time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-22 00:00:00+00:00,0,0,9,1
2024-07-24 00:00:00+00:00,0,0,8,1
2024-07-25 00:00:00+00:00,0,0,8,1
2024-07-30 00:00:00+00:00,0,0,2,1
2024-07-31 00:00:00+00:00,0,0,48,2
2024-08-01 00:00:00+00:00,4,4,246,4
2024-08-02 00:00:00+00:00,16,14,85,3
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,2,2,24,4
2024-08-06 00:00:00+00:00,1,1,6,2
2024-08-07 00:00:00+00:00,3,2,30,4
2024-08-08 00:00:00+00:00,1,1,22,3
2024-08-09 00:00:00+00:00,4,2,17,3
2024-08-10 00:00:00+00:00,4,1,2,1
2024-08-11 00:00:00+00:00,1,1,0,0
2024-08-12 00:00:00+00:00,3,2,0,0
2024-08-13 00:00:00+00:00,1,1,1,1
2024-08-14 00:00:00+00:00,0,0,60,2
2024-08-15 00:00:00+00:00,0,0,9,1
2024-08-16 00:00:00+00:00,1,1,1,1
2024-08-18 00:00:00+00:00,5,2,0,0
2024-08-19 00:00:00+00:00,1,1,12,3
2024-08-20 00:00:00+00:00,1,1,0,0
2024-08-21 00:00:00+00:00,2,2,0,0
2024-08-24 00:00:00+00:00,3,1,0,0
2024-08-26 00:00:00+00:00,2,1,0,0
2024-08-27 00:00:00+00:00,2,1,0,0
2024-08-28 00:00:00+00:00,2,1,0,0
2024-08-29 00:00:00+00:00,3,1,14,1
2024-08-30 00:00:00+00:00,3,1,51,1
2024-08-31 00:00:00+00:00,1,1,1,1
2024-09-02 00:00:00+00:00,2,2,17,4
2024-09-08 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,3,1,0,0
2024-09-10 00:00:00+00:00,0,0,5,2
2024-09-11 00:00:00+00:00,3,1,1,1
2024-09-12 00:00:00+00:00,3,1,0,0
2024-09-15 00:00:00+00:00,4,2,0,0
2024-09-16 00:00:00+00:00,3,2,0,0
2024-09-17 00:00:00+00:00,0,0,8,1
2024-09-18 00:00:00+00:00,1,1,2,2
2024-09-19 00:00:00+00:00,0,0,2,1
2024-09-20 00:00:00+00:00,4,4,0,0
2024-09-22 00:00:00+00:00,1,1,2,1
2024-09-23 00:00:00+00:00,1,1,1,1
2024-09-24 00:00:00+00:00,3,1,3,1
2024-09-25 00:00:00+00:00,0,0,1,1
2024-09-26 00:00:00+00:00,1,1,2,1
